NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	172	-0.6068627	-2.627257	0.0	0.0	0.0	1642	tags=59%, list=23%, signal=75%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	156	-0.57581437	-2.4612703	0.0	0.0	0.0	755	tags=37%, list=11%, signal=40%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	42	-0.5449401	-1.8425995	0.0	0.0028991082	0.01	1204	tags=45%, list=17%, signal=54%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	161	-0.42260104	-1.7998924	0.0	0.004066237	0.019	1146	tags=33%, list=16%, signal=38%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	159	-0.3763255	-1.6265243	0.0	0.019553734	0.114	1350	tags=30%, list=19%, signal=36%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	110	-0.3351615	-1.3939987	0.018099548	0.10598233	0.58	1034	tags=29%, list=15%, signal=34%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	119	-0.3219221	-1.3171378	0.041666668	0.16136071	0.775	2234	tags=42%, list=32%, signal=61%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	54	-0.3091275	-1.1213254	0.27529413	0.49719083	0.997	2262	tags=37%, list=32%, signal=54%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	18	-0.3976488	-1.1033537	0.3578732	0.48669863	0.997	928	tags=33%, list=13%, signal=38%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	36	-0.33232757	-1.0988578	0.30405405	0.4489204	0.997	1161	tags=36%, list=17%, signal=43%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	190	-0.24799432	-1.0940044	0.22133334	0.4196183	0.999	2283	tags=33%, list=33%, signal=47%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	50	-0.31338385	-1.0900624	0.31900454	0.39237967	0.999	602	tags=22%, list=9%, signal=24%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	91	-0.280001	-1.0800912	0.28929386	0.37975672	1.0	1100	tags=25%, list=16%, signal=30%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	127	-0.24389169	-1.0171106	0.45771143	0.47800392	1.0	818	tags=16%, list=12%, signal=18%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	15	-0.3874146	-1.0033721	0.46216768	0.47500128	1.0	616	tags=27%, list=9%, signal=29%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	91	-0.25037313	-1.0019629	0.459854	0.44853976	1.0	2125	tags=36%, list=30%, signal=51%	
