KO_1G4_r1	KO_1G4_r2	KO_1G4_r3	KO_1G4_r4	KO_3G4_r1	KO_3G4_r2	KO_3G4_r3	KO_3G4_r4	LTED_r1	LTED_r2	LTED_r3	LTED_r4	WT_r1	WT_r2	WT_r3	C: Student's T-test Significant KO_3G4_LTED	C: Student's T-test significant	N: number	N: -Log Student's T-test p-value KO_3G4_LTED	N: Student's T-test q-value KO_3G4_LTED	N: Student's T-test Difference KO_3G4_LTED	N: Student's T-test Test statistic KO_3G4_LTED	T: ProteinGroup	T: Gene	T: Description
15,8218	14,5653	14,8945	14,5658	16,7189	15,9497	16,7137	16,2249	14,387	13,5611	14,2969	13,6878	13,6308	13,746	13,9219	+	KO_3G4_LTED	15	3,85234	0,000222222	2,41862	8,54941	A0A024RBG1	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B
16,2653	15,624	15,8567	11,6921	14,8762	15,3884	15,1963	14,7466	12,6676	12,9467	13,0228	13,0371	16,1787	16,3714	16,0524	+	KO_3G4_LTED	15	4,80479	0,000149533	2,13332	12,548	A0A087WWM1	MUC1	Mucin-1
17,5582	16,8456	16,9018	16,6863	17,5304	17,6426	17,6598	17,425	15,4238	15,1277	16,1225	15,3387	16,0742	16,225	16,3742	+	KO_3G4_LTED	15	4,04946	0,000167963	2,0613	9,26726	A0A0A0MS51;A0A0A0MT01;P06396	GSN	Gelsolin
15,9669	14,4337	14,7	14,2185	16,604	16,3349	16,1013	16,183	14,0908	14,0812	14,3979	13,9293	15,86	15,9564	14,8812	+	KO_3G4_LTED	15	5,21376	0	2,18099	14,7459	A0A0A0MSV9;A0A0G2JH37;A0A0G2JKZ1;A2AB90;O15533	TAPBP	Tapasin
12,0393	NaN	NaN	NaN	16,053	15,6514	15,633	15,608	12,584	12,527	12,7696	13,2103	NaN	NaN	NaN	+	KO_3G4_LTED	9	5,38985	0	2,96363	15,8008	A0A0C4DFS9	PLEKHS1	Pleckstrin homology domain-containing family S member 1
18,9768	17,2954	18,0285	17,1721	17,6449	17,9969	18,1225	17,8681	16,6195	15,4033	15,6904	15,5996	16,1617	16,8479	16,3464	+	KO_3G4_LTED	15	3,43832	0,000766284	2,0799	7,19574	A0A0C4DGB5	CAST	Calpastatin
14,5838	14,2007	14,3283	14,104	15,3354	15,29	15,4422	15,2886	13,4245	12,995	13,2558	13,0233	12,9922	12,9714	12,7481	+	KO_3G4_LTED	15	6,00094	0	2,16441	20,0552	A0A0X1KG75;A0A590PXD8;Q53SF7	COBLL1	Cordon-bleu protein-like 1 (Fragment);Cordon-bleu protein-like 1;Cordon-bleu protein-like 1
15,6565	15,2763	15,3925	15,2381	16,809	16,6176	16,6881	16,4671	14,8195	14,1074	14,6461	14,3896	17,188	17,2454	17,0783	+	KO_3G4_LTED	15	4,81669	0,000150943	2,15483	12,6073	A0A1P0AYU5;Q9BWM7	SFXN3	Sidoreflexin;Sideroflexin-3
13,9907	12,5213	12,7317	13,1758	14,2694	14,2949	14,5151	14,0717	11,9029	11,5921	11,3701	11,2756	10,6826	10,3669	10,0264	+	KO_3G4_LTED	15	5,50862	0	2,75263	16,5528	A0A3B3IRX8;E7EV01;O15484	CAPN5	Calpain-5 (Fragment);Calpain-5;Calpain-5
12,5481	12,8551	12,6231	12,7553	12,7908	12,5678	12,7212	12,7418	14,5227	14,9298	14,71	14,8901	12,2706	11,6063	11,5947	+	KO_3G4_LTED	15	5,94146	0	-2,05775	-19,5966	A4D161;B8ZZQ8	FAM221A	Protein FAM221A
14,5825	14,929	14,6738	14,6155	14,8849	15,0948	15,0059	14,7252	12,0382	11,9026	12,2608	12,173	15,5806	16,2063	15,6376	+	KO_3G4_LTED	15	6,59932	0	2,83404	25,2928	B1AK53	ESPN	Espin
12,6222	11,3017	11,627	12,2773	13,95	13,6102	13,5414	13,6154	9,74099	NaN	10,3046	10,8121	10,4966	NaN	11,0136	+	KO_3G4_LTED	13	4,16499	8,23328E-05	3,39336	12,0891	B8ZZ73;B8ZZW4;B9A040;C9J686;C9JQ36;C9JWB2;F8WF92;H7BZM5;P14778	IL1R1	Interleukin-1 receptor type 1;Interleukin-1 receptor type 1;Interleukin-1 receptor type 1;Interleukin-1 receptor type 1 (Fragment);Interleukin-1 receptor type 1 (Fragment);Interleukin-1 receptor type 1 (Fragment);Interleukin-1 receptor type 1;Interleukin-1 receptor type 1 (Fragment);Interleukin-1 receptor type 1
15,9032	15,4321	15,797	15,3636	15,9141	15,9137	16,1054	16,1336	12,7373	12,6611	13,4483	12,9562	12,2497	12,2088	12,5776	+	KO_3G4_LTED	15	5,48406	0	3,066	16,3945	D6RGG3;Q99715	COL12A1	Collagen alpha-1(XII) chain
NaN	NaN	NaN	NaN	10,9715	11,1987	11,7784	11,4355	14,011	13,3501	13,2522	13,5738	NaN	NaN	9,98579	+	KO_3G4_LTED	9	4,01051	0,000161677	-2,20076	-9,12136	E9PP99;Q969I3	GLYATL1	Glycine N-acyltransferase-like protein 1 (Fragment);Glycine N-acyltransferase-like protein 1
16,3165	16,3039	16,4118	15,4303	13,417	13,2097	12,6977	13,1174	15,1047	15,1546	15,074	15,258	14,5261	14,227	13,8099	+	KO_3G4_LTED	15	4,89845	0,000165517	-2,03738	-13,0221	H0Y2P0;H0YD13;P16070	CD44	CD44 antigen (Fragment);CD44 antigen;CD44 antigen
15,0207	14,7542	14,7168	14,6483	14,5713	14,6164	14,6381	14,4218	13,1195	11,557	12,522	10,5452	12,1258	12,3412	13,0591	+	KO_3G4_LTED	15	2,44904	0,00343204	2,626	4,63583	H3BTN6;Q9H6L2	TMEM231	Transmembrane protein 231
14,5942	13,5737	14,4795	13,2994	15,2621	15,3114	15,6934	14,9281	12,9073	12,7022	12,5877	12,5718	13,0443	13,2516	12,7998	+	KO_3G4_LTED	15	5,2431	0	2,60653	14,9168	H7C371	MLPH	Melanophilin (Fragment)
10,118	10,0309	9,5329	10,544	12,9218	12,7732	13,3488	12,3595	9,80934	10,4488	10,6332	10,542	NaN	NaN	NaN	+	KO_3G4_LTED	12	3,97919	0,000157434	2,4925	9,00553	J3QRG6;K7ENC6;K7ES20;P42771;P42772	CDKN2A;CDKN2A;CDKN2A;CDKN2A;CDKN2B	Cyclin-dependent kinase inhibitor 2A;Cyclin-dependent kinase inhibitor 2A;Cyclin-dependent kinase inhibitor 2A;Cyclin-dependent kinase inhibitor 2A;Cyclin-dependent kinase 4 inhibitor B
17,5516	16,7518	16,9283	16,8125	17,6604	17,7995	17,9281	17,7051	15,6825	15,5772	15,9423	15,7772	14,4706	14,3708	14,1372	+	KO_3G4_LTED	15	6,09539	0	2,02847	20,8049	O00194	RAB27B	Ras-related protein Rab-27B
14,7897	13,7216	13,7237	14,5174	15,5335	15,5747	15,713	15,592	13,0875	12,4745	12,6903	11,6315	10,0691	10,5441	11,0043	+	KO_3G4_LTED	15	4,2654	9,14286E-05	3,1323	10,1146	O00526	UPK2	Uroplakin-2
15,7125	13,358	14,1514	13,7562	15,9967	15,874	15,7233	15,7104	13,36	13,8078	13,7296	13,698	15,3597	15,3128	14,6859	+	KO_3G4_LTED	15	5,74233	0	2,17729	18,1344	O14933	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6
15,312	16,3434	16,0819	16,5683	13,5197	13,9321	13,5093	13,7875	16,9809	17,0279	16,4386	16,7734	13,7588	13,5022	14,1718	+	KO_3G4_LTED	15	5,7759	0	-3,11805	-18,3732	O15075	DCLK1	Serine/threonine-protein kinase DCLK1
14,0533	14,8308	14,4567	13,9946	12,3997	11,794	11,3234	11,6194	15,2725	15,2667	14,5208	15,0173	17,164	17,7048	17,3031	+	KO_3G4_LTED	15	4,53052	0,000117359	-3,23516	-11,2503	O43570	CA12	Carbonic anhydrase 12
13,2804	13,0432	14,0686	12,0209	13,555	13,1334	13,3863	13,6963	9,43757	10,2573	11,3772	11,7458	6,97545	7,08781	7,47368	+	KO_3G4_LTED	15	2,63521	0,00225978	2,73827	5,05755	O60356	NUPR1	Nuclear protein 1
18,08	16,9104	17,202	16,5991	19,2827	19,5548	19,5016	19,0274	16,8805	15,7192	16,3532	16,3046	13,1932	13,343	13,0921	+	KO_3G4_LTED	15	4,55859	0,000119701	3,02721	11,3772	O75363	BCAS1	Breast carcinoma-amplified sequence 1
12,7309	12,9864	12,8932	12,1783	13,0712	11,9925	11,6296	13,0977	14,5329	14,5178	14,4233	14,4173	13,4358	14,2714	13,717	+	KO_3G4_LTED	15	2,7714	0,0017943	-2,02507	-5,3818	O75419	CDC45	Cell division control protein 45 homolog
14,308	14,3902	14,2295	13,7463	14,6992	14,2381	14,1213	14,8555	16,8037	16,6176	16,7773	16,6129	14,5996	15,3582	14,9465	+	KO_3G4_LTED	15	4,7077	0,000137931	-2,22437	-12,0735	O75843	AP1G2	AP-1 complex subunit gamma-like 2
14,0514	14,3568	13,7905	14,7845	13,1213	13,4399	13,0419	12,8955	15,8771	15,7018	15,0891	15,7256	12,2266	12,0048	11,4897	+	KO_3G4_LTED	15	4,6614	0,000131148	-2,47376	-11,8531	O76070	SNCG	Gamma-synuclein
16,0789	15,3253	15,6865	15,7987	16,8836	17,1429	17,5021	17,0708	13,0404	13,2965	13,9214	13,1524	17,2478	17,7574	17,9254	+	KO_3G4_LTED	15	5,44157	0	3,7972	16,1241	O95833	CLIC3	Chloride intracellular channel protein 3
14,1458	13,8323	13,9813	13,8178	14,552	14,4147	14,275	14,3679	12,3337	11,8261	12,7228	12,5943	10,4561	10,1582	11,3114	+	KO_3G4_LTED	15	4,19819	8,49558E-05	2,03318	9,84369	P0C870	JMJD7	Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7
15,6871	16,2849	16,2652	16,2468	12,3375	12,8977	11,9239	12,7111	15,1085	14,9401	14,7508	14,9855	15,3671	15,9515	15,5395	+	KO_3G4_LTED	15	4,44645	0,000106904	-2,47869	-10,8782	P10415	BCL2	Apoptosis regulator Bcl-2
15,5477	14,6617	14,8318	13,9896	16,788	16,8037	16,8808	16,7533	15,0029	13,9886	14,8613	14,5861	16,0816	15,7514	15,6809	+	KO_3G4_LTED	15	4,16692	8,26162E-05	2,19675	9,71993	P17655	CAPN2	Calpain-2 catalytic subunit
18,7628	16,97	17,5123	16,4667	19,3311	19,4434	19,4087	19,4146	16,4972	16,323	17,4852	16,6541	15,2207	15,5283	15,5051	+	KO_3G4_LTED	15	4,30676	9,54274E-05	2,65958	10,2846	P21397	MAOA	Amine oxidase [flavin-containing] A
13,99	14,5277	14,0383	15,0462	14,8568	14,7741	14,6089	14,8155	13,846	12,3102	12,3007	12,4607	9,11833	10,6712	10,6006	+	KO_3G4_LTED	15	2,77192	0,00179653	2,03441	5,38306	P25106	ACKR3	Atypical chemokine receptor 3
16,721	16,7326	16,7293	16,543	17,4196	17,5548	17,372	17,3173	14,8638	14,8907	14,8963	14,8573	16,202	15,939	16,0087	+	KO_3G4_LTED	15	8,31988	0	2,53891	49,0973	P32321	DCTD	Deoxycytidylate deaminase
14,205	14,4372	14,103	14,0257	14,028	14,1815	13,8519	13,9	16,2052	16,1435	15,827	15,9441	14,7111	14,5343	14,4228	+	KO_3G4_LTED	15	5,69547	0	-2,03961	-17,806	P32456	GBP2	Guanylate-binding protein 2
16,3235	15,7313	15,9891	15,5662	17,4446	17,2656	17,2564	17,1694	14,3463	14,122	14,6675	14,5912	16,6216	16,7579	16,4077	+	KO_3G4_LTED	15	6,10277	0	2,85223	20,8647	P33121	ACSL1	Long-chain-fatty-acid--CoA ligase 1
16,0663	16,0369	16,0312	16,1678	17,4024	17,3937	17,4287	17,2955	14,3001	13,9916	14,0021	13,9303	16,0519	15,2825	15,5299	+	KO_3G4_LTED	15	7,64274	0	3,32403	37,8338	P40121	CAPG	Macrophage-capping protein
11,0572	12,0529	12,1255	9,83506	NaN	9,95467	11,2703	10,4495	12,8358	12,9281	12,8265	12,8061	13,0667	12,3931	13,2344	+	KO_3G4_LTED	14	3,06674	0,00134421	-2,29095	-7,10216	P41134	ID1	DNA-binding protein inhibitor ID-1
12,3057	10,9311	11,3671	NaN	11,1056	11,6988	11,5447	11,0695	8,34632	8,66774	9,96208	NaN	9,70403	NaN	9,16096	+	KO_3G4_LTED	12	2,46454	0,00328586	2,36262	5,21245	P43155	CRAT	Carnitine O-acetyltransferase
14,9318	15,0707	14,9843	15,227	17,0548	17,0974	17,4287	17,0677	13,8747	13,8996	13,9325	13,6081	14,5083	14,5802	14,7913	+	KO_3G4_LTED	15	6,92324	0	3,3334	28,6665	P50225	SULT1A1	Sulfotransferase 1A1
14,426	11,5458	12,8935	12,6582	14,274	13,7356	13,6834	14,1433	10,1048	NaN	12,1441	11,0657	11,0083	11,0157	NaN	+	KO_3G4_LTED	13	2,55292	0,00267376	2,85425	5,46174	Q03135	CAV1	Caveolin-1
8,54951	NaN	7,80455	NaN	13,0067	13,3035	12,6307	12,8982	10,6055	9,31279	11,153	10,5973	NaN	7,92312	NaN	+	KO_3G4_LTED	11	3,06644	0,00134222	2,54263	6,13478	Q04609;Q9HBA9	FOLH1;FOLH1B	Glutamate carboxypeptidase 2;Putative N-acetylated-alpha-linked acidic dipeptidase
17,461	15,197	16,1503	14,3928	17,847	17,5446	17,0681	17,2882	15,2729	14,878	15,1199	15,0661	18,5711	18,9267	17,8234	+	KO_3G4_LTED	15	4,81774	0,000151899	2,35278	12,6125	Q08380	LGALS3BP	Galectin-3-binding protein
14,4131	13,0007	12,9932	11,7272	14,5819	14,6886	14,6336	14,4158	12,5158	12,7641	12,576	11,8169	14,1582	14,045	13,6325	+	KO_3G4_LTED	15	4,24481	8,92193E-05	2,16174	10,0309	Q13287	NMI	N-myc-interactor
9,05462	NaN	11,0129	NaN	10,7794	NaN	11,1116	8,75648	13,0901	12,7487	13,0098	13,1837	14,009	14,1011	14,0941	+	KO_3G4_LTED	12	2,17915	0,00514237	-2,79224	-4,46336	Q13948	CUX1	Protein CASP
14,227	13,1562	13,3868	13,066	14,9842	14,9714	14,8625	14,4399	11,2448	12,2768	11,3826	11,0579	12,7834	13,3572	12,1733	+	KO_3G4_LTED	15	4,49985	0,000114014	3,32398	11,1132	Q14764	MVP	Major vault protein
14,8418	13,6097	14,0946	13,5468	16,7743	16,4473	16,4559	16,0262	13,3648	12,4201	13,2454	13,3709	15,6178	15,8993	14,9947	+	KO_3G4_LTED	15	4,70915	0,000138329	3,32563	12,0805	Q15274	QPRT	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
